Brand,Category,Name,Price,Description
Flavor Trippin',Sandwiches,Italian Turkaletta,1345,"Roasted turkey, red-pepper spread, shredded lettuce, red onion, banana pepper, olive, and Calabrian dressing on toasted pullman bread. Served cold."
Flavor Trippin',Sandwiches,Turkey BLTA,1445,"Roasted turkey, smoked bacon, avocado, herb mayo, shredded lettuce, red onion, and tomato on toasted pullman bread.Served cold."
Flavor Trippin',Salads,Italian Chopped Salad,1225,"Romaine, arugula, Calabrian dressing, grape tomatoes, marinated hearts of palm, banana peppers, red onion, olive, feta, and grated parmesan."
Flavor Trippin',Sides,Dirty Salt & Vinegar Potato Chips,250,Thick cut kettle style chips
Flavor Trippin',Sides,Woozy Fries,995,"Fries with chopped beef, onion and jalapeno mix, American cheese, spicy russian dressing, and banana pepper."
Flavor Trippin',Sides,Herb Mayo,75,Housemade herb mayo.
Flavor Trippin',Sides,Tay's Hot Mustard,75,Housemade hot mustard.  Recipe by Tay.
Flavor Trippin',Sides,Spicy Russian Dressing,75,Housemade Russian dressing spiced with Mama Lil's Peppers.
Flavor Trippin',Combo Specials,Griddled Mortadella Combo,1500,"Thinly sliced mortadella, Tay's hot mustard, salt & vinegar potato chips, shredded lettuce, mayo, and American cheese on toasted pullman bread.  Served with a side and drink."
Flavor Trippin',Combo Specials,Italian Turkaletta Combo,1500,"Roasted turkey, red-pepper spread, shredded lettuce, red onion, banana pepper, olive and Calabrian dressing on toasted pullman bread. Served cold with a side and drink"
Flavor Trippin',Combo Specials,Turkey BLTA Combo,1500,"Roasted turkey, smoked bacon, avocado, herb mayo, shredded lettuce, red onion and tomato on toasted pullman bread.  Served cold with a side and drink."
Flavor Trippin',Combo Specials,Italian Chopped Salad Combo,1500,"Romaine, arugula, Calabrian dressing, grape tomatoes, marinated hearts of palm, banana peppers, red onion, olive, feta, and grated parmesan."
Milk Bar,Milk Bar,Confetti Cookie,400,"Chewy sugar cookie with birthday cake flavors from vanilla, butter, and rainbow sprinkles."
Milk Bar,Milk Bar,Cornflake Chocolate Chip Marshmallow Cookie,400,"Crunchy, chewy riff on a chocolate chip cookie with caramelized cornflakes and marshmallows."
Milk Bar,Milk Bar,Compost Cookie,400,"Sweet and salty cookie with chocolate chips, pretzels, potato chips, graham crackers, coffee, oats, and butterscotch."
Milk Bar,Milk Bar,Milk Bar Pie Slice,800,"Gooey pie with a buttery, salty-sweet filling and oat-cookie crust."
Humphry Slocombe,Ice Cream,Malted Milk Chocolate Ice Cream,1100,Pint of chocolate ice cream with a blend of milk and dark chocolate and a little malt.
Humphry Slocombe,Ice Cream,Vietnamese Coffee Ice Cream,1100,Pint of Vietnamese coffee ice cream with chicory and sweetened condensed milk.
Local Kitchens,Drinks,Coke Can,300,The original cola.
Local Kitchens,Drinks,Diet Coke Can,300,Sugar-free version of the classic cola.
Local Kitchens,Drinks,Sprite Can,300,Lemon-lime soda.
Local Kitchens,Drinks,Mexican Coke,400,The original cola made with cane sugar.
Local Kitchens,Drinks,Lacroix Grapefruit Sparkling Water,250,Sparkling water with the essence of grapefruit.
Local Kitchens,Drinks,Lacroix Lime Sparkling Water,250,Sparkling water with the essence of lime.
Local Kitchens,Drinks,Olipop Strawberry Vanilla,400,"A sparkling tonic featuring a blend of sweet strawberry juice, rich vanilla, and a dash of tangy lemon."
Local Kitchens,Drinks,Olipop Classic Root Beer,400,"A sparkling tonic featuring extracts of sweet birch, smooth-vanilla bean and naturally sourced burdock root."
Local Kitchens,Drinks,LIFEWTR Bottled Water,300,Purified electrolyte water.
Local Kitchens,Condiments,Condiments,0,Choice of condiments.
Local Kitchens,Utensils,Utensils,0,Choice of utensils.
